date,location,product,supplier,quantity,unit,leadTimeDays,costPerUnit,routeStart,routeEnd,storageDays
2026-03-01,Ontario,Urea Fertilizer,Nutrien,120,tons,14,480,Port of Vancouver,Toronto,10
2026-03-02,Ontario,Potash,Nutrien,80,tons,18,520,Port of Vancouver,Toronto,12
2026-03-03,Manitoba,Corn Seed,Bayer Crop Science,300,bags,10,95,Winnipeg Distribution,Brandon Farm Hub,20
2026-03-04,Saskatchewan,Potash,Mosaic,150,tons,20,510,Saskatoon Rail,Regina,15
2026-03-05,Alberta,Ammonium Nitrate,Yara,60,tons,16,600,Port of Vancouver,Calgary,8
2026-03-06,Ontario,Herbicide Glyphosate,Syngenta,200,liters,12,22,Toronto Warehouse,London Agri Depot,25
2026-03-07,Quebec,Wheat Seed,Corteva,400,bags,9,88,Montreal Port,Quebec City,30
2026-03-08,Ontario,Corn,Bunge,500,tons,7,210,Great Lakes Shipping,Toronto,5
2026-03-09,Alberta,Feed Barley,Cargill,350,tons,11,175,Edmonton Rail Hub,Red Deer Grain Terminal,6
2026-03-10,Manitoba,Diesel Fuel,Imperial Oil,10000,liters,5,1.35,Winnipeg Fuel Terminal,Steinbach Fuel Depot,3